RevolvingUtilizationOfUnsecuredLines,age,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberRealEstateLoansOrLines,NumberOfDependents,Default
0.0,0.5662040458074915,0.046613153,0.0284,0.054908475817967164,0.06683622056435062,0.18506317026928415,false
0.0,0.41867765917205585,1.348703956,0.014656,0.12069743973724867,0.15582770987400307,0.0108827019887198,true
0.698980268,0.4554750088132905,0.624159974,0.0244,0.339769191513004,0.15656141352404362,0.15192980982370358,true
0.430456017,0.5246588356390672,0.251261269,0.04836,0.4177352443743124,0.04420482650902763,0.009148306631596093,false
0.138347164,0.5296396652464823,0.274721224,0.0434,0.06349573438630408,0.08454872390110366,0.06325801751093776,false
0.684933598,0.3004675572530394,0.56535866,0.016,0.08961077404203666,0.056729308096036504,0.18086679234826758,true
0.006974817,0.5725498207473615,0.344519263,0.036232,0.14152871440912987,0.08287738980466422,0.11139781353438324,false
0.9999999,0.32553058558648995,0.446166621,0.0289,0.10721227111048139,0.04207815590246957,0.08943061138479944,true
0.015127845,0.5954056699522268,0.072985403,0.02,0.26002651768201335,0.03925047775899039,0.004356002559679717,true
0.056640494,0.45713662998213667,0.751352476,0.01922,0.24391193199870234,0.11402848237728942,0.09065794015602625,false
0.846163759,0.4761199902846924,0.571108043,0.023172,0.20346926900554113,0.08432983852306766,0.021713248927916727,false
0.820276623,0.429125616902837,0.691323471,0.01,0.08705969195827984,0.029454882692412466,0.04748753264158264,true
0.122544324,0.5746919570785584,0.42893401,0.017332,0.1650178350898395,0.09553096050953618,0.08984921516795179,false
0.745309885,0.3134817580644218,0.641213047,0.036664,0.2706601440031405,0.1417841112000468,0.07669547148713177,true
0.9999999,0.3033934683240086,0.105691057,0.003932,0.04088645655775077,0.023130575540300236,0.09239887054252849,true
1.034182522,0.5177668598576227,0.251655081,0.048332,0.062259962818615906,0.08983076000949698,0.06502211047802739,true
0.162063966,0.5167518362840846,0.400099994,0.064,0.2162353977513878,0.11182661283781634,0.10746917851053342,false
0.064546488,0.6269038397947981,0.014492754,0.01352,0.20178270603995133,0.04532375427359817,0.08394291236909826,true
0.170445226,0.3479301569882744,0.525245792,0.024,0.16284541832693625,0.10780075089291481,0.0006629078717309888,false
0.391045602,0.24045505464406586,0.069040925,0.0128,0.19079642389218449,0.0004898534325664672,0.022266594527358498,false
0.9999999,0.277194900588426,0.831445703,0.006,0.08139914384210019,0.08453692014908565,0.023284522517824403,true
0.382032525,0.7456347343779208,1.268650947,0.010344,0.276364997117442,0.10662438142372528,0.07249016795236773,true
0.912205443,0.48037627965150725,0.260686966,0.08,0.17882858897143245,0.07672808930258618,0.1730458442232114,false
0.089338347,0.5588848669831477,1.111452729,0.0052,0.3023616836022943,0.0934060502157095,0.03213565095976055,true
0.075351938,0.6781685129910127,0.333730429,0.0235,0.12727759670515784,0.05957946029628343,0.04549258398352814,true
0.9999999,0.4418861011021154,1.490392006,0.0052,0.08237912882594302,0.07438999826753037,0.10471932576598948,true
0.9999999,0.39900556335033627,0.412646838,0.016,0.2219416282976812,0.08394840753891128,0.11817146508538476,false
0.028482112,0.749534765218536,0.151987841,0.05,0.17309475037658512,0.086009907766422,0.01570330659140704,false
0.340963393,0.38093213770063317,1.566520924,0.0064,0.18078050277286237,0.0814479540746271,0.15622102981642336,false
